time_slot,T2,T3,T4,other,zongti
00:00,0.00019808256081134618,0.000481251253258472,0.001002584609754424,0.0019896805490490534,0.0018830930337394901
00:15,0.0002376990729736154,0.00029075596551032687,0.0010521420239247947,0.0018221182480825625,0.0017345806618916926
00:30,0.0003169320972981539,0.0003709645077200722,0.0007865651120887052,0.0016191194430599312,0.0015300610413249102
00:45,0.00043578163378496157,0.000481251253258472,0.0006455170871422654,0.001397976173761132,0.0013203900691146986
01:00,0.00019808256081134618,0.0003108081010627632,0.0006137495139561303,0.0012927626359449632,0.001220431926586882
01:15,0.0002376990729736154,0.000240625626629236,0.0005197174973251704,0.0011547916424892695,0.001087483212895828
01:30,0.000673480706758577,0.00033086023661519953,0.0004803257065743628,0.0010607813980516743,0.0010016638865808277
01:45,0.0012677283891926155,0.0003709645077200722,0.0004510995392431185,0.0009122159858575469,0.0008675095373987581
02:00,0.0012281118770303462,0.0002807298977341087,0.00040281282800019315,0.0008087072970337697,0.0007690858400413248
02:15,0.0017827430473021156,0.00029075596551032687,0.00040281282800019315,0.000793728980886329,0.0007572486915840834
02:30,0.0019015925837889231,0.000541407659915781,0.0003964593133629661,0.0007087300811228038,0.0006832665137263245
02:45,0.0015846604864907694,0.0006917986765590536,0.00027701323818309813,0.0005779438084207606,0.0005560171678109791
03:00,0.0014658109500039617,0.0005714858632444355,0.0003481726021200408,0.0007992088526475879,0.000759659962566114
03:15,0.0022185246810870773,0.000481251253258472,0.0003545261167572678,0.0007345463658647341,0.0007031046977148494
03:30,0.002733539339196577,0.00042109484660116304,0.00037485736359639424,0.0007185938502930696,0.000691267549257608
03:45,0.003367403533792885,0.0004311209143773812,0.00037485736359639424,0.0007541521292772378,0.0007251349462324932
04:00,0.002060058632438,0.0011128935231602165,0.0003888350957982937,0.000812360544874609,0.0007825670368954053
04:15,0.004238966801362808,0.001554040505313816,0.00040408353092763856,0.0008907835985246237,0.0008653174728696394
04:30,0.004714364947310039,0.0024263084018447964,0.0005527557734387508,0.0009862551420985546,0.0009749206993255785
04:45,0.003169320972981539,0.0025265690796069783,0.0008983869697039008,0.0011903499214734378,0.0011852492908945257
05:00,0.0024958402662229617,0.003278524162823341,0.0012745150362277404,0.001484679922517049,0.0014889598314039329
05:15,0.004714364947310039,0.0036494886705434127,0.0016137927178556633,0.002041069568676858,0.002029194134605257
