cid,nlane,turn,dnroad,geom,len
4562_4536,1,R,4536_4497,0105000020E61000000100000001020000000B000000C5229FBAA6AF5D4097CD563DE4EE3E40166192E3B1AF5D40F309D108D3EE3E40F06888CFC2AF5D40FA141980BAEE3E40B43333D0C8AF5D40CF6C15CCB1EE3E40408CCE01DBAF5D40B418C0849FEE3E4044AD616DE9AF5D40E8F650AA96EE3E4086E422C604B05D40CE85F4888FEE3E401761ED9C24B05D40259C2F5989EE3E40F470C0B657B05D40BDEDF8E582EE3E408521930864B05D4089DC25D480EE3E40D589579B77B05D402B5A6F8A7DEE3E40,1242.8941073109343
9131_9133,1,U,9133_9131,0105000020E610000001000000010200000002000000182E052065A95D401088D2A96EF43E401048532104A95D40407791023EF43E40,571.6201222906443
4562_4651,3,S#L#R#U,4651_4697#4651_4662#4651_4635#4651_4562,0105000020E610000001000000010200000017000000C5229FBAA6AF5D4097CD563DE4EE3E40C7DE07F7B5AF5D403C50230416EF3E40FB60B6F0BEAF5D40805AB16433EF3E40C9899F94C3AF5D400ECAEA0C42EF3E40C060F54FC9AF5D405AFE95F850EF3E40E1901515D4AF5D40C412E6A869EF3E40D1BB6713D6AF5D409224C63A6EEF3E40905C8AEDE6AF5D406C19DB3196EF3E40C1F572E9E9AF5D400E1478279FEF3E408392D98BEEAF5D4042C81E46ADEF3E40F616A453F6AF5D40F9CB5965C7EF3E403C81F26FFEAF5D4030366387E7EF3E40758FF0E6FEAF5D40D0D7A85EE9EF3E40F3A0EAA107B05D40AD3C793F0BF03E407C40879608B05D40398994A80FF03E40F275DF520AB05D40C4891A1218F03E409FA1EA1D0FB05D4045AAFFDE33F03E409581E24B11B05D40AA0B99A74AF03E406813D4AE11B05D4067D4BEB14EF03E407F0A4F0113B05D40EA4671F164F03E40CC77955A14B05D40654EFAEF7FF03E40A8463BB014B05D40861046A286F03E407B389A8615B05D4031D84786A0F03E40,1026.8827556848405
5055_4972,3,R#S#U,4972_4895#4972_4899#4972_5055,0105000020E610000001000000010200000007000000A8E8E503E4AD5D4070EB72E715F53E40900176C1E2AD5D40D01BDB63D0F43E4020B38F8FE2AD5D40605A644098F43E4028863CD3E2AD5D40204E79446AF43E40A8B29FFAE4AD5D40A019E7F042F43E40D0FA79C5E6AD5D40202022B925F43E40F89A484AE9AD5D40E06729B407F43E40,461.70551984163194
4899_4794,3,S#R#U#L,4794_4742#4794_4713#4794_4899#4794_9173,0105000020E610000001000000010200000002000000C8D99D8301AE5D40F06EE2E146F33E408824097B20AE5D402088619E4DF23E40,458.7327062965415
4630_4616,4,S#R#U,4616_4605#4616_4539#4616_4630,0105000020E610000001000000010200000004000000D844EED5C6AE5D4070BAD0FC34F03E40780E6716D2AE5D4080FF82BE23F03E40A823B18BFFAE5D406046AFB5E0EF3E4070A404AEFFAE5D40C05B1183E0EF3E40,361.058494153511
4589_4562,5,L#S#R#U,4562_4651#4562_4536#4562_4493#4562_4589,0105000020E6100000010000000102000000040000005232525254AF5D40C5820C2E67EF3E40AE9C205E55AF5D406DD98C9965EF3E4029AA86167CAF5D404C8C65FA25EF3E40C5229FBAA6AF5D4097CD563DE4EE3E40,529.3159283469065
4664_4634,3,L#S#R#U,4634_4732#4634_4642#4634_4554#4634_4664,0105000020E6100000010000000102000000080000008756A32EC4B05D40868D36B7D7F03E4032BDEDD7D7B05D406ED2C0D186F03E4003528B56E8B05D403E9725114CF03E40267712F0EFB05D40EFCFA0FC38F03E405D6E0FC6F8B05D403DB25EB12BF03E405ECD09F301B15D40B135D74025F03E40344179C40DB15D40127CDB6522F03E40493AB99514B15D406BC5ED8623F03E40,591.479047611182
4863_4881,2,U#R,4881_4863#4881_4732,0105000020E6100000010000000102000000050000007B7D5292DAB05D400F3C8412E2F23E40693B22B6E6B05D4009C514B4E2F23E409BB84D9FFAB05D40B94F123BE8F23E40FE2C751410B15D4074F0C82FEEF23E40384A5E9D23B15D409C0B2B2EF1F23E40,426.90546689619407
4835_4854,3,S#U#L,4854_4863#4854_4835#4854_4961,0105000020E610000001000000010200000006000000F8349FF457B05D40D05534EF9BF23E40C87E2E9E6AB05D40D0823865A7F23E4070B90A947AB05D4050C14D32B1F23E40C07037C080B05D4050CC43ABB5F23E40502474118BB05D40B0200225BDF23E40609B0BCB9BB05D4020F5DEBFC9F23E40,403.2309133648496
4808_4806,3,L#S#U#R,4806_4927#4806_4835#4806_4808#4806_4697,0105000020E61000000100000001020000000200000048B57846D5AF5D404CE94FD147F23E40FDE1216B11B05D40C505DAFC43F23E40,350.83766894957887
4950_5021,2,S#R#U#L,5021_5082#5021_9163#5021_4950#5021_5012,0105000020E61000000100000001020000000700000008C4CDA4ABAF5D4060DC0454C2F33E40F8641BDEAAAF5D4090564004C9F33E40A886D5D6AAAF5D4040EBFC43C9F33E40802A12D9A8AF5D40A0085ADCDAF33E40403FDE0EA1AF5D40B0A836AF1FF43E40C0BE3E899BAF5D409071687850F43E40003B2EB296AF5D4080DF781182F43E40,346.6895866261475
5021_5082,2,S#R#U,5082_5123#5082_9162#5082_5021,0105000020E610000001000000010200000004000000003B2EB296AF5D4080DF781182F43E40605B61C294AF5D40D07DDE6607F53E4058E46EE294AF5D4050A0954947F53E407004DA0495AF5D40B0B8DFDE8BF53E40,449.9515372332168
4808_4893,2,L#S#U#R,4893_4879#4893_4907#4893_4808#4893_4927,0105000020E61000000100000001020000000300000048B57846D5AF5D404CE94FD147F23E407C09362AC7AF5D40E3AE98F0CFF23E4022FB83F5BDAF5D4082493B7F24F33E40,397.33528758790317
4961_4944,2,R#S#U#L,4944_5029#4944_4927#4944_4961#4944_4835,0105000020E61000000100000001020000000500000013C10F3983B05D40FEFB638CD5F33E40A3FD93E87AB05D405F2AB2ADD1F33E40955564B65CB05D4090877C9FC3F33E4072FFCB945AB05D4085B97AA1C2F33E40D971AA5246B05D405A7B65FFB8F33E40,358.4393484452914
4973_4961,1,R,4961_5061,0105000020E6100000010000000102000000080000006E509883E2B05D40823EAAC4E9F33E40E91C6E4DDBB05D40F18F08D7EDF33E406483B7CDB5B05D40532C8E35E9F33E4053DAB0E09DB05D4085166578E4F33E4085773DC193B05D40B6160377E2F33E40D9E66B3B92B05D40B0615D47E2F33E40C037761E8FB05D40219FE3E5E1F33E4013C10F3983B05D40FEFB638CD5F33E40,559.8595596211068
5132_5061,3,S#U#L,5061_5029#5061_5132#5061_4961,0105000020E610000001000000010200000005000000B852FBB910B05D40E0E7CA0ABFF63E4000EA25171AB05D4020B8918CFEF53E40900F72321FB05D40C01E29E897F53E4038CEB9BD1FB05D40800C3F6D91F53E40D81E94CF29B05D4040E9E47C19F53E40,729.0114596197056
4697_4806,3,S#R#L#U,4806_4927#4806_4835#4806_4808#4806_4697,0105000020E610000001000000010200000002000000A9816AAC12B05D40A9E751AF63F13E40FDE1216B11B05D40C505DAFC43F23E40,379.528059291527
